Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_High_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Summer     ,Yield (t/ha)
2014,25.42083333333333,4439.900000000001,182712322.6,399410.88,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1210336.0,False,False,3.134642857
2014,25.667777777777776,58.0,15521707.2,33930.6,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,102820.0,True,False,3.191785714
2014,28.261666666666667,519.0,3612170.88,7896.24,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,23928.0,False,True,3.19
2015,25.2925,3490.8,172372503.2,360223.71,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1091587.0,False,False,2.7225
2015,25.73708333333333,90.9,16414744.5,34303.5,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,103950.0,True,False,2.544285714
2015,28.16541666666667,524.4,3908904.14,8168.82,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,24754.0,False,True,2.877407407
2016,25.33375,3465.2,193499733.3,441924.35,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1262641.0,False,False,2.6025
2016,25.907083333333333,14.7,13375660.0,30548.0,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,87280.0,True,False,2.6956
2016,28.883333333333336,259.9,3108216.5,7098.7,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,20282.0,False,True,3.482222222
2017,25.29458333333333,3778.9,186304105.0,449666.92,6.82,56.7,6.19,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,1183334.0,False,False,4.282857143
